Strain,Company,Types,Categories,SubCategory,THCLevel,THCUnit,Price,Feelings,FlavorProfile,Terpenes,Description,HardwareType,UnitWeight,PackSize,PreRollConfig,DietaryTags,TimeOfDay,ActivityScenario,IsLiveResin,IsLiveRosin,IsInfused,IsVegan,IsOrganic,ProductTags,OtherCannabinoids,OtherCannabinoidLevels,ExperienceLevel,ConsumptionMethod,OnsetTime,Duration,PriceRange
Apple Fritter,Dank,Hybrid,Flower,Flower,29,%,270.0,"Relaxed,Tingly,Giggly","apple,butter,cheese","Myrcene,Caryophyllene,Limonene","Apple Fritter, a true hybrid weed strain, is known for its powerful and relaxing high. Put out by Lumpy?s Flowers, the Apple Fritter marijuana strain is a reported cross of Sour Apple and Animal Cookies. According to Leafly reviewers, Apple Fritter?s effects include feeling relaxed, giggly, and tingly. It's a great hybrid, combining the stone of GSC with the energy of a diesel. Apple Fritter cannabis has a flavor and aroma that come off as sweet and earthy, with a light, cheesy, apple pastry influence.",,28g,1.0,,,Nighttime,"Social,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Peace | Bubble Gum x Chem 1 | 2 Pack,Honeybee Collective,Hybrid,Pre-rolls,Pre-roll,16,%,15.5,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Sleepy","earthy,herbal,floral,lavender,pepper,spicy","Myrcene,Linalool,Caryophyllene","PEACE - A Soothing, Restful Experience Reach for Peace pre-roll before a yoga session, a midday nap, or while getting ready for bed, and let the smoke comfort your soul.",,1g,2.0,2x1g,,Daytime,"Sleep,Creative,Focus,Relaxation",False,False,False,False,False,,,,Beginner,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Peace | Gelato Cake | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,Pre-roll,22,%,59.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Sleepy","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","PEACE - Gelato cake is a potent indica-dominant.A Soothing, Restful ExperienceReach for Peace pre-roll before a yoga session, a midday nap, or while getting ready for bed, and let the smoke comfort your soul.",,1g,10.0,10x1g,,Daytime,"Sleep,Creative,Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Calm | Mood | AIO | (CBD),ayrloom,Hybrid,Vaporizers,Vape,90,%,35.0,"Relaxed,Calm,Sleepy,Focused,Happy","floral,lavender,earthy,herbal,pepper,spicy","Linalool,Myrcene,Caryophyllene","Pure balance. expect a soothing and tranquil experience with ayrloom mood?s calm vape. a blend that?s both earthy and subtly sweet with lavender + red berry notes. perfect for an outdoor activity to calm the mind + connect with nature.INGREDIENTS CANNABIS EXTRACT, BOTANICALLY DERIVED TERPENES INSTRUCTIONS INHALE FOR 3-5 SECONDS. WAIT AT LEAST 30 SECONDS BETWEEN PUFFS. STORE VERTICALLY AND AT ROOM TEMPERATURE AWAY FROM LIGHT.",Disposable,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,CBD,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Mid
Orange Creamsicle | Vape Cart,ayrloom,Hybrid,Vaporizers,Vape,90,%,60.0,"Focused,Happy,Relaxed,Energetic","citrus,earthy,herbal,sweet","Limonene,Myrcene,Valencene",ORANGE AND CREAM LIKE A MIDSUMMER NIGHT?S DREAM. DECADENT VANILLA AND TANGY ORANGE TEAM UP TO BRING YOU CREAMSICLE. Note: Compatible with any standard 510 thread battery.,510 Cartridge,1g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Cereal Milk | AIO,ayrloom,Hybrid,Vaporizers,Vape,90,%,35.0,"Aroused,Giggly,Relaxed","vanilla,butter,sweet","Myrcene,Caryophyllene,Limonene","Cereal Milk is a hybrid marijuana strain from Cookies. Cereal Milk is made by crossing Y Life (Cookies x Cherry Pie) and Snowman, a sativa-dominant Cookies pheno. Cereal Milk has a loud flavor with a sweet milk and ice cream nose that will keep you dipping back into your stash. You can expect dense, quality nugs dripping with trichomes and a potent high.",Disposable,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Mid
Watermelon | AIO,ayrloom,Hybrid,Vaporizers,Vape,90,%,35.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene",Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,Disposable,1g,,,,Anytime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Mid
Caramel Latte | AIO | 1g,Cannabals,Hybrid,Vaporizers,Vape,88,%,65.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","Cannabis-infused vapor inhaled from a liquid cannabis concentrate heated with an electric-powered device or battery. Vaporization allows for inhalation of higher-potency concentrate with a delivery method that is an alternative to smoking, but typically with the same immediate onset.",Disposable,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Watermelon Z | AIO | 1g,Cannabals,Hybrid,Vaporizers,Live Rosin,88,%,65.0,"Calm,Energetic,Happy,Relaxed","watermelon,sweet,fruity,tropical","Myrcene,Caryophyllene,Limonene","Watermelon Z AIO by Cannabals is a 1g all-in-one disposable vape packed with premium live rosin at 88% THC. Made via solventless extraction from fresh-frozen Watermelon Z plants, this Hybrid delivers sweet, juicy watermelon flavor in every draw. Powered by the Blinc AiO Simpl vaporizer, it provides consistent, smooth hits with no charging or separate cartridge required. Expect calm, happy, and relaxed effects that come on quickly — ideal for experienced consumers wanting a clean, flavorful, high-potency session on the go.",Disposable,1g,,,,Anytime,Relaxation,False,True,False,False,False,live-rosin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Jealousy | Disposable | 0.5g,EUREKA,Hybrid,Vaporizers,Vape,93,%,40.0,"Energetic,Tingly,Talkative","berry,pear,tropical","Limonene,Myrcene,Caryophyllene","Unleash your harmonic extrovert with the Artisan Series Mystical Melody. Mystical Melody brings you lush red raspberries with a pungent squeeze of lime and tangerine. Inspire your palate as you inhale, and exhale melodious conversation and rhythmic creativity. This balanced Hybrid will invite your spirit to roam gleefully free with a force of euphoric vitality. Have the all-day stamina to manifest and embody your own brilliant gifts.",Disposable,0.5g,,,,Daytime,Social,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Mid
Grape Limeade | Disposable | 0.5g,EUREKA,Hybrid,Vaporizers,Vape,92,%,60.0,"Calm,Happy,Relaxed,Energetic","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","""The FUSION split pack.5g brings you our pure & potent distillate combined with naturally derived fruit terpenes in a convenient,rechargeable vape.EUREKA loves to switch things up so we created this flavor! Each season will be a new seasonal flavor. Put your tastebuds to the test and see if you can guess what delicious flavor we debut for each season! Our cannabis oil is 100% natural, pesticide-free, solvent-free, and never cut or altered with MCT, PG, VG or Vitamin E Acetate.""",Disposable,0.5g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Happy Camper - 1g - Vape,Holiday,Hybrid,Vaporizers,Vape,89,%,70.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","In the mountains, on the beach, or just in your backyard--any place is a good place to pitch a tent and build a fire. Happy Camper is the perfect vibe to roast while mellowing (see what we did there?).ABOUT THE HARDWARE: The H-bar hardware is USB-C rechargeable and has a window for oil visibility. The compact design of the H-bar fits in the palm of your hand and can be comfortably placed in your pocket. Holiday distillate vapes are flavored with high-quality botanical terpenes.",Disposable,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Airplane Mode | 1g,Holiday,Hybrid,Vaporizers,Vape,62,%,70.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool",?Kick off your shoes and reach for noise-cancelling headphones as you set your surroundings to Airplane Mode.Mind-calming CBG provides relaxation to the muscles while you kick-back.ABOUT THE HARDWARE: The H-bar hardware is USB-C rechargeable and has a window for oil visibility. The compact design of the H-bar fits in the palm of your hand and can be comfortably placed in your pocket. Holiday distillate vapes are flavored with high-quality botanical terpenes.?,Disposable,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,CBG,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Honey Banana | Live Resin,MFNY,Hybrid,Vaporizers,Live Resin,80,%,48.0,"Happy,Giggly,Uplifted","honey,tree fruit,sweet","Myrcene,Limonene,Caryophyllene",Honey Bananas from Elemental Seeds is a heavy-handed hybrid strain bred from Strawberry Banana and Honey Boo Boo. This cannabis strain earns its name with a resinous coat as sticky as honey and an unmistakable banana aroma. She tends to provide weighty full-body effects coupled with an invigorating buzz of cerebral euphoria. Note: Compatible with any standard 510 thread battery.,510 Cartridge,0.5g,,,,Daytime,Relaxation,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Mid
Rated R | Vape | Live Rosin | 0.5g,Rezinators,Hybrid,Vaporizers,Live Rosin,65,%,55.0,"Focused,Relaxed,Euphoric","peach,mint,citrus","Limonene,Myrcene,Caryophyllene","Rated R is a hybrid weed strain made from a genetic cross between Banana OG and Mimosa V6. This strain is 60% sativa and 40% indica. Rated R is a balanced and versatile hybrid that offers a diverse range of effects and flavors. Rated R typically contains around 20-24% THC, making it an ideal choice for experienced cannabis consumers who appreciate a well-rounded and potent strain. Leafly customers report that Rated R effects include feeling relaxed, euphoric, and happy, making it suitable for both relaxation and enhancing mood. Medical marijuana patients often choose Rated R when dealing with symptoms associated with chronic pain, anxiety, and depression, as it can provide soothing relief and promote a sense of well-being. Bred by Symbiotic Genetics, Rated R features flavors like sweet and earthy notes, hints of mint, and a touch of citrus, creating a complex and enjoyable taste profile. The dominant terpene of this strain is caryophyllene, which contributes to its earthy aroma and potential pain-relieving properties. The average price of Rated R typically ranges from $10-$16 per gram, offering a reasonably priced option for those seeking a balanced and flavorful cannabis strain. Rated R is a versatile and enjoyable hybrid strain that caters to a wide range of cannabis enthusiasts. If you?ve smoked, dabbed, or consumed Rated R, tell us about your experience by leaving a strain review. Note: Compatible with any standard 510 thread battery.",510 Cartridge,0.5g,,,,Anytime,"Focus,Relaxation",False,True,False,False,False,live-rosin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Cherry Gelato | Live Resin | Ready To Use | 1g,Rove,Hybrid,Vaporizers,Live Resin,92,%,95.0,"Relaxed,Hungry,Euphoric","berry,sweet,tropical","Myrcene,Limonene,Caryophyllene","Cherry Gelato, also known as ""Cherrylato"", is a hybrid weed strain (60% sativa & 40% indica) made by crossing Black Cherry Funk with Acai. The effects of Cherry Gelato are more calming than energizing. Consumers who have smoked this strain say it makes them feel euphoric, relaxed and creative. Cherry Gelato is best enjoyed during the afternoon or evening hours and pairs well with activities that require creative thought. In terms of flavor, you can expect sweet flavor combinations of tropical berries. One reviewer on Leafly dubbed Cherry Gelato as ?one of the best highs? they have ever had. The dominant terpene in this strain is Pinene, followed by Caryophyllene and Limonene. The original breeder of this strain is unknown.",Disposable,1g,,,,Nighttime,Relaxation,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Pineapple Express | Live Resin | Ready To Use | 1g,Rove,Hybrid,Vaporizers,Live Resin,92,%,95.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,citrus,pine","Myrcene,Limonene,Pinene","Buckle up for a heady trip across the pacific. Pineapple Express provides a blast of energy, promotes focused awareness and increases that quintessentially-coastal feeling of creativity. Got a best friend (or maybe dealer) you wanna share with? This hybrid is a great group activity with the perfect amount of THC to make you feel buzzed, alert and ready for an adventure. A slightly tropical taste of pineapple gives this strain its sun-kissed sweetness.Tastes: Pineapple, Earthy, Piney Terpenes: Myrcene, Caryophyllene, Limonene Effects/ Relief: Pain, Creative, Anxiety Lineage: Trainwreck x Hawaiian",Disposable,1g,,,,Nighttime,"Active,Relaxation",True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Space Jam | Live Resin Disposable,To The Moon,Hybrid,Vaporizers,Live Resin,87,%,80.0,"Euphoric,Focused,Hungry","apricot,mint,tea","Limonene,Myrcene,Caryophyllene","Space Jam by To The Moon is a 2g Hybrid live resin disposable at 87% THC, featuring an unusually distinctive flavor trio of sweet apricot, cool mint, and earthy tea — unlike anything else in the lineup. Live resin extraction from fresh-frozen plants preserves the full terpene spectrum for a rich, aromatic vapor experience. Euphoric and focus-enhancing effects with appetite stimulation make Space Jam a standout choice for creative sessions or relaxed social moments. A premium large-format vape for experienced consumers.",Disposable,2g,,,,Daytime,Focus,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Lemon Cherry Gelato | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,Live Resin,89,%,80.0,"Euphoric,Focused,Hungry","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","Lemon Cherry Gelato by To The Moon is a 1g Hybrid live resin disposable at 89% THC, capturing the beloved dessert strain's zesty citrus and subtle spiced aroma through premium fresh-frozen extraction. Smooth, euphoric, and focused effects make this a crowd favorite for unwinding without shutting down. Rich Limonene, Caryophyllene, and Myrcene terpenes give each draw a bright, layered flavor. A refined, high-potency vape for those who appreciate both taste and strength.",Disposable,1g,,,,Daytime,Focus,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Pink Ztarburst | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,Live Resin,87,%,80.0,"Euphoric,Focused,Hungry","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Pink Ztarburst by To The Moon is a 1g Hybrid live resin disposable at 87% THC, inspired by the iconic sweet-tart candy it's named after. Fresh-frozen live resin extraction delivers vibrant, terpene-rich vapor with bright citrus and earthy notes. Effects are euphoric and uplifting with a pleasant focused buzz — a fun, candy-inspired premium vape experience for the high-potency enthusiast.",Disposable,1g,,,,Daytime,Focus,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Cherry Bomb | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,Live Resin,86,%,80.0,"Euphoric,Focused,Hungry","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Cherry Bomb by To The Moon is a 1g Hybrid live resin disposable at 86% THC, delivering an explosive burst of cherry-tinged, citrus-forward vapor backed by earthy and spicy notes. Premium live resin from fresh-frozen plants ensures a full-spectrum terpene experience in every draw. Effects are euphoric and focused with a pleasant sense of hunger — a great companion for food, creativity, or social time. Ideal for experienced vapers seeking bold flavor and consistent potency.",Disposable,1g,,,,Daytime,Focus,True,False,False,False,False,live-resin,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Animal Mints | POD | 1g,Plug Play,Hybrid,Vaporizers,Vape,90,%,70.0,"Relaxed,Sleepy,Calm,Focused,Happy","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Let your wild side out with our newest addition to our DNA line. Your mind and body will unwind thanks to the calming effects of Animal Mintz with an aftertaste that is faintly minty and is both sweet and pungent. Known to provide exhilaration while lowering tension, stress and pain. Note: This product uses a Plug Play proprietary battery and is not compatible with standard 510 thread batteries.",Pod,1g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Melon Dew | Exotics | POD | 1g,Plug Play,Hybrid,Vaporizers,Vape,91,%,70.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene",Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs. Note: This product uses a Plug Play proprietary battery and is not compatible with standard 510 thread batteries.,Pod,1g,,,,Anytime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Peach Ringz | Exotics | POD | 1g,Plug Play,Hybrid,Vaporizers,Vape,88,%,70.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene",Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs. Note: This product uses a Plug Play proprietary battery and is not compatible with standard 510 thread batteries.,Pod,1g,,,,Anytime,Relaxation,False,False,False,False,False,,,,Experienced,Vape,Immediate (0–5 min),1–3 hrs,Premium
Berkshire Roots | Dark belgian style | 100mg,Berkshire Roots,Hybrid,Tincture,Tincture,100,mg,32.0,"Inspired,Happy,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","The Berkshire Roots Dark Belgian Style Tincture delivers 100mg of THC in a rich, dark chocolate-inspired flavor profile. Crafted for sublingual use, simply place drops under the tongue for onset in 15–45 minutes. A great entry-level tincture for those seeking a flavorful and discreet way to consume cannabis. Precise dosing allows you to start low and adjust as needed.",,,,,,Daytime,Creative,False,False,False,False,False,,,,Intermediate,Sublingual,15–45 min,2–4 hrs,Mid
Sleep | Tablets | 20 Pack,1906,Indica,Edibles,Tablet,5,mg,35.0,"Sleepy,Calm","earthy,herbal,floral,lavender,pepper,spicy","Myrcene,Linalool,Caryophyllene","SLEEP combines full-spectrum cannabis oil (RSO indica), CBD, and CBN to stand out as a fast-acting, effective and health-conscious choice for those seeking an improved sleep experience. Like all 1906 Drops, it?s fast-acting, sugar-free, calorie-free, gluten-free and vegan.",,,20.0,,"vegan,gluten-free,sugar-free",Nighttime,"Sleep,Relaxation",False,False,False,True,False,vegan,"CBD, CBN",,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Sleep | Tablets | 2 Pack,1906,Indica,Edibles,Tablet,5,mg,4.0,"Sleepy,Calm","earthy,herbal,floral,lavender,pepper,spicy","Myrcene,Linalool,Caryophyllene","SLEEP combines full-spectrum cannabis oil (RSO indica), CBD, and CBN to stand out as a fast-acting, effective and health-conscious choice for those seeking an improved sleep experience. Like all 1906 Drops, it?s fast-acting, sugar-free, calorie-free, gluten-free and vegan.",,,2.0,,"vegan,gluten-free,sugar-free",Nighttime,"Sleep,Relaxation",False,False,False,True,False,vegan,"CBD, CBN",,Intermediate,Eat,30–90 min,4–8 hrs,Budget
Dreamberry | 100mg,Jaunty,Indica,Edibles,Gummy,10,mg,24.0,"Relaxed,Sleepy,Happy","earthy,herbal,floral,lavender,pepper,spicy","Myrcene,Linalool,Caryophyllene",Need a little rest and relaxation? Wind down your day with Jaunty?s Snoozeberry gummies! Each piece comes formulated with 10mg THC and 10mg CBN for the perfect nighttime treat. Sweet dreams...,,,10.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,CBN,10mg CBN,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Pineapple x Dosidos x Zkittles | Rosin Gummies,MFNY,Indica,Edibles,Live Rosin,10,mg,30.0,"Relaxed,Sleepy,Happy","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","These palate-pleasing Pineapple Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of pineapple.",,,10.0,,vegan,Nighttime,"Sleep,Relaxation",False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Offline | 100mg,Off Hours,Indica,Edibles,Gummy,10,mg,30.0,"Relaxed,Sleepy,Happy","earthy,herbal,floral,lavender,pepper,spicy","Myrcene,Linalool,Caryophyllene","OFF HOURS GRAPE PUNCH FLAVORED GUMMIES ARE SPECIALLY FORMULATED WITH THE PERFECT COMBINATION OF THC, CBN, AND CBD TO SEND YOU FAST ASLEEP. SWEET DREAMS. NANO-ENHANCED CANNABINOIDS FOR FAST ONSET. VEGAN FRIENDLY AND GLUTEN FREE.",,,10.0,,"vegan,gluten-free",Nighttime,"Sleep,Relaxation",False,False,False,True,False,vegan,"CBN, CBD",,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Midnight Blueberry 5:1 | Camino | Sleep | 100mg,Kiva,Indica,Edibles,Gummy,5,mg,33.0,"Sleepy,Relaxed","floral,lavender,earthy,herbal,pepper,spicy","Linalool,Myrcene,Caryophyllene","Our top-selling product - and for a reason. Settle in for a smooth slumber by a serene lake and let all your worries go. This calming combination of THC, CBN, and relaxing, indica-like terpenes pair with chamomile and lavender extracts to promote restful sleep.",,,20.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,CBN,,Beginner,Eat,30–90 min,4–8 hrs,Mid
TTM | Pluto Punch | 100mg,To The Moon,Indica,Edibles,Gummy,5,mg,30.0,"Relaxed,Sleepy,Happy,Calm,Clear-minded","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","TTM Pluto Punch gummies by To The Moon deliver a tropical punch of fruity flavors. Each pack contains 20 gummies at 5mg THC each, totaling 100mg. Expect relaxed, sleepy, and calm effects — perfect for winding down. Start with one gummy and wait at least 1 hour. Onset 30–90 min, effects last 3–4 hrs.",,,20.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Beginner,Eat,30–90 min,4–8 hrs,Mid
TTM | Cherry Nova | 100mg,To The Moon,Indica,Edibles,Gummy,5,mg,30.0,"Happy,Relaxed,Sleepy","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","TTM Cherry Nova gummies by To The Moon feature a bright, sweet cherry flavor. Each pack contains 20 gummies at 5mg THC each, totaling 100mg. A hybrid formula producing relaxed, happy, and calm effects. Start with one gummy and wait at least 1 hour before consuming more. Onset 30–90 min, effects last 3–4 hrs.",,,20.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Beginner,Eat,30–90 min,4–8 hrs,Mid
Hindu Kush | Jar,Dank,Indica,Flower,Flower,29,%,53.0,"Relaxed,Sleepy,Happy","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","Hindu Kush by Dank is a classic, potent Indica at 29% THC, named after the mountain range that is its original home. This landrace strain is prized for its deeply relaxing, sedative effects — ideal for winding down, relieving tension, or easing into sleep. Its Myrcene, Caryophyllene, and Linalool terpene profile produces a rich aroma of earthy herbs, warm spice, and delicate lavender floral notes. Best reserved for evenings. Available in a premium 3.5g jar.",,3.5g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Benzina,Florist Farms,Indica,Flower,Flower,26,%,70.0,"Relaxed,Sleepy,Happy","pepper,spicy,earthy,herbal,woody","Caryophyllene,Myrcene,Humulene",ABOUT:Each jar contains a quarter ounce (7g) of flower.AROMA/FLAVOR Diesel forward with spicy and herbal undertones.,,7g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Dynamite Cookies,Tyson 2.0,Indica,Flower,Flower,24,%,44.0,"Happy,Relaxed,Sleepy","pepper,spicy,earthy,herbal,citrus","Caryophyllene,Myrcene,Limonene","Whether you?re looking to be the next heavyweight champion, or just conquer your morning routine, this strain will help you be like Mike. Testing at over 25% THC, this potent hybrid will get you ready to take on the world, and keep you relaxed throughout the day. This strain explodes with a classic cookie flavor, followed by diesel undertones, and a spicy exhale. Light em up.",,3.5g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Tiger Mintz,Tyson 2.0,Indica,Flower,Flower,25,%,44.0,"Relaxed,Sleepy,Happy,Focused","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","It?s no surprise that this refreshing strain packs a punch. Weighing in at 25% THC, this heavy-hitting indica-dominant will leave you seeing stars, laid out with tingly waves of euphoria. It has a crisp mint and diesel aroma, with sweet berry and sour cherry flavors, making this Mike?s preferred dessert strain.",,3.5g,,,,Nighttime,"Sleep,Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Orange Zkittlez | Moonrocks,Veterans Choice Creations,Indica,Flower,Moonrock,53,%,66.0,"Relaxed,Sleepy,Happy","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","Each bag of SPACEBUDS Moonrocks carries 4 grams of celestial joy. We start with nuggets of our Mandarin Zkittlez flower, then we drench them in our premium Hash Rosin. But we don't stop there; we add a proprietary mix of terpenes to turbocharge the flavor to stellar proportions. Finally, each nugget is tossed and coated in powdered hash, amplifying the taste and texture to galactic levels.The result? Moonrocks that boast an out-of-this-world over 42% Total Cannabinoids including over 37% THC. These aren't your everyday cannabis product - they're a spectacular shooting star of pleasure, designed to make every moment feel like a cosmic celebration.",,4g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Purple Daddy,Zizzle,Indica,Flower,Flower,17,%,47.0,"Happy,Relaxed,Sleepy","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Purple Daddy is an indica-dominant hybrid strain of cannabis that is known for its relaxing effects and sweet, fruity flavor. It is a cross be- tween Granddaddy Purple and Sugar Daddy and is often used to alleviate symptoms of anxiety, depression, and chronic pain. Purple Daddy typical- ly has a deep purple color, with medium to large-sized buds and a dense, sticky texture. It has a sweet and fruity aroma, with hints of grape, berry, and candy. The high from Purple Daddy is usually not too overpowering, making it a good choice for novice cannabis users, and",,3.5g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Beginner,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Triple Infused | RuntzxZoap | 5pk |Tidal Waves | 0.5g,7 SEAZ,Indica,Pre-rolls,Infused,31,%,55.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Triple Infused Runtz x Zoap Tidal Waves by 7 SEAZ is a 5-pack of 0.5g infused pre-rolls at 31% THC each. Triple infused with flower, concentrate, and kief. A sweet, fruity Runtz crossed with the floral, soapy notes of Zoap for a complex, layered flavor profile. For experienced consumers. Onset immediate, effects last 1–3 hrs.",,0.5g,5.0,5x0.5g,,Nighttime,"Creative,Focus,Relaxation",False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
